feature,importance_baseline,importance_degraded,importance_delta,abs_importance_delta
M4,0.0972758472758473,0.0066518847006652075,-0.0906239625751821,0.0906239625751821
card6,0.08610026931229071,0.004770597541681891,-0.08132967177060882,0.08132967177060882
M5,0.06584179474375333,0.009977827050997812,-0.05586396769275552,0.05586396769275552
C13,0.05280181106758349,0.001960814707737383,-0.05084099635984611,0.05084099635984611
TransactionAmt,0.05022464243875435,0.002912029172760733,-0.04731261326599362,0.04731261326599362
C14,0.05149911816578486,0.007075985944424952,-0.04442313222135991,0.04442313222135991
P_emaildomain,0.04253968253968258,0.0,-0.04253968253968258,0.04253968253968258
M6,0.03874396135265704,0.0,-0.03874396135265704,0.03874396135265704
card5,0.03498491428172801,0.0,-0.03498491428172801,0.03498491428172801
TransactionDT,0.03377382993091271,0.0,-0.03377382993091271,0.03377382993091271
card4,0.03375598438216939,0.0,-0.03375598438216939,0.03375598438216939
addr1,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
R_emaildomain,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
card2,0.032499945734826396,-0.0007390983000739038,-0.0332390440349003,0.0332390440349003
card1,0.03125297595858334,0.0,-0.03125297595858334,0.03125297595858334
D2,0.030014977187924785,0.0,-0.030014977187924785,0.030014977187924785
D15,0.023878040424803054,0.0007301935012778427,-0.02314784692352521,0.02314784692352521
DeviceInfo,0.021437257156462792,0.0,-0.021437257156462792,0.021437257156462792
D1,0.021489096955271385,0.0014603870025556853,-0.0200287099527157,0.0200287099527157
V257,0.0,0.017957351290684653,0.017957351290684653,0.017957351290684653
M3,0.016590528591740112,0.0,-0.016590528591740112,0.016590528591740112
id_20,0.010600706713780883,-0.0050807475957176385,-0.01568145430949852,0.01568145430949852
dist1,0.015404558435157645,0.0,-0.015404558435157645,0.015404558435157645
M8,0.01538746287743035,0.0,-0.01538746287743035,0.01538746287743035
id_30,0.012989833680007353,0.0,-0.012989833680007353,0.012989833680007353
V233,0.0,-0.012121212121212088,-0.012121212121212088,0.012121212121212088
M9,0.011795270196894117,0.0,-0.011795270196894117,0.011795270196894117
M7,0.010609119132676073,0.0,-0.010609119132676073,0.010609119132676073
id_02,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
V45,0.0,0.009977827050997812,0.009977827050997812,0.009977827050997812
V78,0.0,0.009977827050997812,0.009977827050997812,0.009977827050997812
V38,0.0,0.009977827050997812,0.009977827050997812,0.009977827050997812
V201,0.0,0.009977827050997812,0.009977827050997812,0.009977827050997812
C7,0.0,0.009977827050997812,0.009977827050997812,0.009977827050997812
V62,0.0,0.009977827050997812,0.009977827050997812,0.009977827050997812
V152,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V164,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V251,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V150,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V149,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V148,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V143,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V274,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V255,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V332,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V211,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V196,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
V189,0.0,-0.009857612267250793,-0.009857612267250793,0.009857612267250793
M2,0.00942296806845803,0.0,-0.00942296806845803,0.00942296806845803
D10,0.01063435764988511,0.0014603870025556853,-0.009173970647329424,0.009173970647329424
id_33,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
V275,0.0,0.007808142777467941,0.007808142777467941,0.007808142777467941
V259,0.0,0.007808142777467941,0.007808142777467941,0.007808142777467941
V258,0.0,0.007808142777467941,0.007808142777467941,0.007808142777467941
V256,0.0,-0.007621121393576458,-0.007621121393576458,0.007621121393576458
V250,0.0,-0.007621121393576458,-0.007621121393576458,0.007621121393576458
C12,0.0011695906432748575,0.007808142777467941,0.0066385521341930835,0.0066385521341930835
D9,0.0,-0.006571741511500528,-0.006571741511500528,0.006571741511500528
V67,0.0035087719298245723,0.009977827050997812,0.0064690551211732394,0.0064690551211732394
V66,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
D4,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
D11,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
id_17,0.0011695906432748575,0.0066518847006652075,0.00548229405739035,0.00548229405739035
id_34,0.0035087719298245723,-0.0014781966001478075,-0.00498696852997238,0.00498696852997238
C9,0.004694835680751168,0.0,-0.004694835680751168,0.004694835680751168
V312,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
D5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
C5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
id_38,0.005872750191143343,0.0014603870025556853,-0.0044123631885876575,0.0044123631885876575
V317,0.009414555649562839,0.013344578509923433,0.0039300228603605936,0.0039300228603605936
id_13,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V318,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V33,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
card3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V87,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_11,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V16,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
D3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V283,0.004703159547868485,0.0014603870025556853,-0.0032427725453128,0.0032427725453128
id_31,0.004686599126925299,0.0014603870025556853,-0.0032262121243696136,0.0032262121243696136
V56,0.0035087719298245723,0.0066518847006652075,0.0031431127708406352,0.0031431127708406352
ProductCD,0.003533568904593628,0.0066518847006652075,0.0031183157960715797,0.0031183157960715797
C2,0.003517008483650441,0.0007301935012778427,-0.0027868149823725985,0.0027868149823725985
C1,0.0070505773882440686,0.00951685529998784,0.002466277911743771,0.002466277911743771
V307,0.002347417840375584,0.0,-0.002347417840375584,0.002347417840375584
V19,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V30,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V61,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V25,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V12,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V26,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V75,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V213,0.0,-0.0022172949002217113,-0.0022172949002217113,0.0022172949002217113
V265,0.0,-0.0022172949002217113,-0.0022172949002217113,0.0022172949002217113
