feature,importance_baseline,importance_degraded,importance_delta,abs_importance_delta
M4,0.0972758472758473,0.0,-0.0972758472758473,0.0972758472758473
card6,0.08610026931229071,0.0,-0.08610026931229071,0.08610026931229071
M5,0.06584179474375333,0.0,-0.06584179474375333,0.06584179474375333
TransactionAmt,0.05022464243875435,0.0,-0.05022464243875435,0.05022464243875435
P_emaildomain,0.04253968253968258,-0.002942658797899502,-0.04548234133758208,0.04548234133758208
C13,0.05280181106758349,0.008915816954829792,-0.0438859941127537,0.0438859941127537
C14,0.05149911816578486,0.0079207920792079,-0.04357832608657696,0.04357832608657696
M6,0.03874396135265704,0.0,-0.03874396135265704,0.03874396135265704
card5,0.03498491428172801,0.0,-0.03498491428172801,0.03498491428172801
TransactionDT,0.03377382993091271,0.0,-0.03377382993091271,0.03377382993091271
card4,0.03375598438216939,0.0,-0.03375598438216939,0.03375598438216939
R_emaildomain,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
addr1,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
card2,0.032499945734826396,0.0,-0.032499945734826396,0.032499945734826396
card1,0.03125297595858334,0.0,-0.03125297595858334,0.03125297595858334
D2,0.030014977187924785,0.0,-0.030014977187924785,0.030014977187924785
D1,0.021489096955271385,-0.005885317595799004,-0.02737441455107039,0.02737441455107039
D15,0.023878040424803054,0.0,-0.023878040424803054,0.023878040424803054
DeviceInfo,0.021437257156462792,0.0,-0.021437257156462792,0.021437257156462792
V232,0.0,0.01792079207920791,0.01792079207920791,0.01792079207920791
M3,0.016590528591740112,0.0,-0.016590528591740112,0.016590528591740112
dist1,0.015404558435157645,0.0,-0.015404558435157645,0.015404558435157645
M8,0.01538746287743035,0.0,-0.01538746287743035,0.01538746287743035
V78,0.0,-0.014655594797381813,-0.014655594797381813,0.014655594797381813
C12,0.0011695906432748575,0.014919133704415203,0.013749543061140346,0.013749543061140346
D10,0.01063435764988511,-0.002942658797899502,-0.013577016447784612,0.013577016447784612
id_30,0.012989833680007353,0.0,-0.012989833680007353,0.012989833680007353
C1,0.0070505773882440686,-0.005885317595799004,-0.012935894984043073,0.012935894984043073
V33,0.0035087719298245723,-0.008827976393698506,-0.012336748323523078,0.012336748323523078
M9,0.011795270196894117,0.0,-0.011795270196894117,0.011795270196894117
D4,0.005864426324026025,-0.005885317595799004,-0.011749743919825029,0.011749743919825029
C11,0.008228404585344795,-0.002942658797899502,-0.011171063383244298,0.011171063383244298
M7,0.010609119132676073,0.0,-0.010609119132676073,0.010609119132676073
id_20,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
id_02,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
V213,0.0,-0.00990099009900991,-0.00990099009900991,0.00990099009900991
V201,0.0,-0.00990099009900991,-0.00990099009900991,0.00990099009900991
M2,0.00942296806845803,0.0,-0.00942296806845803,0.00942296806845803
V317,0.009414555649562839,0.0,-0.009414555649562839,0.009414555649562839
V318,0.0035087719298245723,-0.005885317595799004,-0.009394089525623577,0.009394089525623577
V87,0.0035087719298245723,-0.005885317595799004,-0.009394089525623577,0.009394089525623577
V156,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V257,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V148,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V252,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V243,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V149,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V45,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V198,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V249,0.0,0.008915816954829792,0.008915816954829792,0.008915816954829792
V63,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V259,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V132,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V94,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V59,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V251,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V272,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V22,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V316,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V134,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V44,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V58,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V57,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V39,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V270,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V268,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V263,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V101,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V177,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V192,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V230,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V224,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V84,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V194,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V221,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V228,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V229,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V71,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V231,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V178,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V50,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V64,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V168,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V81,0.0,-0.008827976393698506,-0.008827976393698506,0.008827976393698506
V294,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
id_33,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
V188,0.0,0.0079207920792079,0.0079207920792079,0.0079207920792079
V244,0.0,0.0079207920792079,0.0079207920792079,0.0079207920792079
V242,0.0,0.0079207920792079,0.0079207920792079,0.0079207920792079
C9,0.004694835680751168,-0.002942658797899502,-0.007637494478650669,0.007637494478650669
C2,0.003517008483650441,-0.002942658797899502,-0.006459667281549944,0.006459667281549944
D3,0.0035087719298245723,-0.002942658797899502,-0.006451430727724075,0.006451430727724075
V293,0.0,-0.005885317595799004,-0.005885317595799004,0.005885317595799004
V295,0.0,-0.005885317595799004,-0.005885317595799004,0.005885317595799004
V97,0.0,-0.005885317595799004,-0.005885317595799004,0.005885317595799004
V96,0.0,-0.005885317595799004,-0.005885317595799004,0.005885317595799004
id_38,0.005872750191143343,0.0,-0.005872750191143343,0.005872750191143343
D11,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
V66,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
V61,0.002339181286549715,-0.002942658797899502,-0.005281840084449217,0.005281840084449217
V283,0.004703159547868485,0.0,-0.004703159547868485,0.004703159547868485
V312,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
C5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
D5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
id_31,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
ProductCD,0.003533568904593628,-0.0010344318013890963,-0.0045680007059827245,0.0045680007059827245
id_11,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V67,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_06,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V56,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_34,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_13,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
card3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V86,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V16,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V52,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
C4,0.0,-0.002942658797899502,-0.002942658797899502,0.002942658797899502
V279,0.0,-0.002942658797899502,-0.002942658797899502,0.002942658797899502
C6,0.0,-0.002942658797899502,-0.002942658797899502,0.002942658797899502
V100,0.0,-0.002942658797899502,-0.002942658797899502,0.002942658797899502
V307,0.002347417840375584,0.0,-0.002347417840375584,0.002347417840375584
V12,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
