feature,importance_baseline,importance_degraded,importance_delta,abs_importance_delta
M4,0.0972758472758473,-0.0009306009306009333,-0.09820644820644824,0.09820644820644824
card6,0.08610026931229071,-0.0020925434718538174,-0.08819281278414454,0.08819281278414454
M5,0.06584179474375333,0.0,-0.06584179474375333,0.06584179474375333
C13,0.05280181106758349,-0.008642708642708644,-0.061444519710292134,0.061444519710292134
TransactionAmt,0.05022464243875435,-0.004185086943707635,-0.05440972938246199,0.05440972938246199
C14,0.05149911816578486,-0.0023337162872046533,-0.05383283445298952,0.05383283445298952
P_emaildomain,0.04253968253968258,-0.0020925434718538174,-0.044632226011536394,0.044632226011536394
M6,0.03874396135265704,0.0,-0.03874396135265704,0.03874396135265704
card5,0.03498491428172801,-0.0013959013959014,-0.03638081567762941,0.03638081567762941
TransactionDT,0.03377382993091271,0.0,-0.03377382993091271,0.03377382993091271
card4,0.03375598438216939,0.0,-0.03375598438216939,0.03375598438216939
R_emaildomain,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
card2,0.032499945734826396,0.0,-0.032499945734826396,0.032499945734826396
card1,0.03125297595858334,0.0,-0.03125297595858334,0.03125297595858334
D2,0.030014977187924785,0.0,-0.030014977187924785,0.030014977187924785
addr1,0.03373794450548495,0.004217404217404204,-0.029520540288080748,0.029520540288080748
C12,0.0011695906432748575,0.02560096153846153,0.024431370895186672,0.024431370895186672
D15,0.023878040424803054,0.002108702108702102,-0.02176933831610095,0.02176933831610095
D1,0.021489096955271385,0.0,-0.021489096955271385,0.021489096955271385
DeviceInfo,0.021437257156462792,0.0,-0.021437257156462792,0.021437257156462792
V45,0.0,0.019126010176593822,0.019126010176593822,0.019126010176593822
M3,0.016590528591740112,0.0,-0.016590528591740112,0.016590528591740112
V317,0.009414555649562839,-0.006277630415561453,-0.01569218606512429,0.01569218606512429
dist1,0.015404558435157645,0.0,-0.015404558435157645,0.015404558435157645
M8,0.01538746287743035,0.0,-0.01538746287743035,0.01538746287743035
C4,0.0,0.013150206173461965,0.013150206173461965,0.013150206173461965
id_30,0.012989833680007353,0.0,-0.012989833680007353,0.012989833680007353
V274,0.0,0.01270125223613594,0.01270125223613594,0.01270125223613594
C7,0.0,0.01270125223613594,0.01270125223613594,0.01270125223613594
C10,0.0,0.01270125223613594,0.01270125223613594,0.01270125223613594
V266,0.0,-0.012507339988256039,-0.012507339988256039,0.012507339988256039
M9,0.011795270196894117,0.0,-0.011795270196894117,0.011795270196894117
D10,0.01063435764988511,0.0,-0.01063435764988511,0.01063435764988511
C8,0.0011695906432748575,0.01179635675156443,0.010626766108289573,0.010626766108289573
M7,0.010609119132676073,0.0,-0.010609119132676073,0.010609119132676073
id_20,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
id_02,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
M2,0.00942296806845803,0.0,-0.00942296806845803,0.00942296806845803
ProductCD,0.003533568904593628,0.01179635675156443,0.008262787846970801,0.008262787846970801
id_33,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
V294,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
V273,0.0,0.006781506781506759,0.006781506781506759,0.006781506781506759
V265,0.0,0.006781506781506759,0.006781506781506759,0.006781506781506759
V275,0.0,0.006781506781506759,0.006781506781506759,0.006781506781506759
