feature,importance_baseline,importance_degraded,importance_delta,abs_importance_delta
M4,0.0972758472758473,0.004028837998303651,-0.09324700927754365,0.09324700927754365
card6,0.08610026931229071,0.006020278833967052,-0.08007999047832366,0.08007999047832366
M5,0.06584179474375333,0.0,-0.06584179474375333,0.06584179474375333
TransactionAmt,0.05022464243875435,-0.003983228511530397,-0.05420787095028475,0.05420787095028475
C13,0.05280181106758349,0.006020278833967052,-0.04678153223361644,0.04678153223361644
C14,0.05149911816578486,0.006020278833967052,-0.04547883933181781,0.04547883933181781
P_emaildomain,0.04253968253968258,0.0020067596113223507,-0.04053292292836023,0.04053292292836023
M6,0.03874396135265704,0.0,-0.03874396135265704,0.03874396135265704
addr1,0.03373794450548495,-0.0019916142557651986,-0.03572955876125015,0.03572955876125015
card5,0.03498491428172801,0.0,-0.03498491428172801,0.03498491428172801
TransactionDT,0.03377382993091271,0.0,-0.03377382993091271,0.03377382993091271
card4,0.03375598438216939,0.0,-0.03375598438216939,0.03375598438216939
card1,0.03125297595858334,-0.0019916142557651986,-0.033244590214348536,0.033244590214348536
card2,0.032499945734826396,0.0,-0.032499945734826396,0.032499945734826396
R_emaildomain,0.03373794450548495,0.0020067596113223507,-0.0317311848941626,0.0317311848941626
D2,0.030014977187924785,0.0,-0.030014977187924785,0.030014977187924785
D1,0.021489096955271385,-0.003983228511530397,-0.025472325466801782,0.025472325466801782
D15,0.023878040424803054,0.0,-0.023878040424803054,0.023878040424803054
DeviceInfo,0.021437257156462792,0.0,-0.021437257156462792,0.021437257156462792
M3,0.016590528591740112,0.0,-0.016590528591740112,0.016590528591740112
dist1,0.015404558435157645,0.0,-0.015404558435157645,0.015404558435157645
M8,0.01538746287743035,0.0,-0.01538746287743035,0.01538746287743035
V294,0.008228404585344795,-0.005974842767295596,-0.014203247352640391,0.014203247352640391
id_30,0.012989833680007353,0.0,-0.012989833680007353,0.012989833680007353
DeviceType,0.0,0.012086513994910952,0.012086513994910952,0.012086513994910952
id_38,0.005872750191143343,-0.005974842767295596,-0.01184759295843894,0.01184759295843894
M9,0.011795270196894117,0.0,-0.011795270196894117,0.011795270196894117
C8,0.0011695906432748575,0.012086513994910952,0.010916923351636095,0.010916923351636095
C12,0.0011695906432748575,0.012086513994910952,0.010916923351636095,0.010916923351636095
id_31,0.004686599126925299,-0.005974842767295596,-0.010661441894220896,0.010661441894220896
D10,0.01063435764988511,0.0,-0.01063435764988511,0.01063435764988511
M7,0.010609119132676073,0.0,-0.010609119132676073,0.010609119132676073
id_02,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
id_20,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
D3,0.0035087719298245723,-0.005974842767295596,-0.009483614697120168,0.009483614697120168
M2,0.00942296806845803,0.0,-0.00942296806845803,0.00942296806845803
V317,0.009414555649562839,0.0,-0.009414555649562839,0.009414555649562839
id_33,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
D4,0.005864426324026025,-0.0019916142557651986,-0.007856040579791224,0.007856040579791224
id_05,0.0011695906432748575,-0.005974842767295596,-0.007144433410570454,0.007144433410570454
V283,0.004703159547868485,-0.0019916142557651986,-0.006694773803633683,0.006694773803633683
C2,0.003517008483650441,0.010064435607929653,0.006547427124279212,0.006547427124279212
V155,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V154,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V253,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V153,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V149,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V148,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V147,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V257,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V258,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V134,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V274,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V275,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V101,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V156,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V244,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
C7,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
C10,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V212,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V238,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
C4,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V233,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V232,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V231,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V189,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V187,0.0,0.006020278833967052,0.006020278833967052,0.006020278833967052
V167,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V165,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V276,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V199,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V263,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V139,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V140,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V144,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V228,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V160,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
id_29,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V157,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V80,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V236,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V152,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
D13,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V158,0.0,-0.005974842767295596,-0.005974842767295596,0.005974842767295596
V66,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
D11,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
V86,0.0035087719298245723,-0.001584283903675543,-0.005093055833500115,0.005093055833500115
id_17,0.0011695906432748575,0.006020278833967052,0.004850688190692194,0.004850688190692194
id_12,0.0011695906432748575,0.006020278833967052,0.004850688190692194,0.004850688190692194
C9,0.004694835680751168,0.0,-0.004694835680751168,0.004694835680751168
V312,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
C5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
D5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
V45,0.0,0.004452926208651398,0.004452926208651398,0.004452926208651398
V307,0.002347417840375584,-0.0019916142557651986,-0.0043390320961407824,0.0043390320961407824
V123,0.0,0.004013519222644701,0.004013519222644701,0.004013519222644701
V70,0.0,0.004013519222644701,0.004013519222644701,0.004013519222644701
V52,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
