feature,importance_baseline,importance_degraded,importance_delta,abs_importance_delta
M4,0.0972758472758473,0.001996381558425353,-0.09527946571742195,0.09527946571742195
card6,0.08610026931229071,0.012022327179046777,-0.07407794213324394,0.07407794213324394
M5,0.06584179474375333,0.001996381558425353,-0.06384541318532798,0.06384541318532798
TransactionAmt,0.05022464243875435,-0.00396372483963725,-0.0541883672783916,0.0541883672783916
C13,0.05280181106758349,0.0,-0.05280181106758349,0.05280181106758349
C14,0.05149911816578486,0.004669386002576215,-0.04682973216320865,0.04682973216320865
P_emaildomain,0.04253968253968258,0.0,-0.04253968253968258,0.04253968253968258
M6,0.03874396135265704,0.0,-0.03874396135265704,0.03874396135265704
card4,0.03375598438216939,-0.00396372483963725,-0.03771970922180664,0.03771970922180664
card1,0.03125297595858334,-0.005945587259455876,-0.037198563218039216,0.037198563218039216
card5,0.03498491428172801,0.0,-0.03498491428172801,0.03498491428172801
TransactionDT,0.03377382993091271,0.0,-0.03377382993091271,0.03377382993091271
R_emaildomain,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
addr1,0.03373794450548495,0.0,-0.03373794450548495,0.03373794450548495
card2,0.032499945734826396,0.0,-0.032499945734826396,0.032499945734826396
D2,0.030014977187924785,0.005989144675276059,-0.024025832512648726,0.024025832512648726
D1,0.021489096955271385,-0.001981862419818625,-0.02347095937509001,0.02347095937509001
D15,0.023878040424803054,0.001996381558425353,-0.0218816588663777,0.0218816588663777
DeviceInfo,0.021437257156462792,0.0,-0.021437257156462792,0.021437257156462792
M3,0.016590528591740112,0.0,-0.016590528591740112,0.016590528591740112
dist1,0.015404558435157645,0.0,-0.015404558435157645,0.015404558435157645
M8,0.01538746287743035,0.0,-0.01538746287743035,0.01538746287743035
id_30,0.012989833680007353,0.0,-0.012989833680007353,0.012989833680007353
V257,0.0,0.012022327179046777,0.012022327179046777,0.012022327179046777
V258,0.0,0.012022327179046777,0.012022327179046777,0.012022327179046777
M9,0.011795270196894117,0.0,-0.011795270196894117,0.011795270196894117
D10,0.01063435764988511,0.0,-0.01063435764988511,0.01063435764988511
M7,0.010609119132676073,0.0,-0.010609119132676073,0.010609119132676073
id_02,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
id_20,0.010600706713780883,0.0,-0.010600706713780883,0.010600706713780883
C11,0.008228404585344795,-0.001981862419818625,-0.01021026700516342,0.01021026700516342
M2,0.00942296806845803,0.0,-0.00942296806845803,0.00942296806845803
V294,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
id_33,0.008228404585344795,0.0,-0.008228404585344795,0.008228404585344795
V56,0.0035087719298245723,-0.00396372483963725,-0.007472496769461823,0.007472496769461823
V244,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V132,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V188,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V282,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V281,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
C4,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
C6,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V149,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V201,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V242,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V156,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V256,0.0,0.005989144675276059,0.005989144675276059,0.005989144675276059
V133,0.0,-0.005945587259455876,-0.005945587259455876,0.005945587259455876
V224,0.0,-0.005945587259455876,-0.005945587259455876,0.005945587259455876
V290,0.0,-0.005945587259455876,-0.005945587259455876,0.005945587259455876
V102,0.0,-0.005945587259455876,-0.005945587259455876,0.005945587259455876
id_38,0.005872750191143343,0.0,-0.005872750191143343,0.005872750191143343
V66,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
D4,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
D11,0.005864426324026025,0.0,-0.005864426324026025,0.005864426324026025
C2,0.003517008483650441,-0.001981862419818625,-0.005498870903469066,0.005498870903469066
V318,0.0035087719298245723,-0.001981862419818625,-0.0054906343496431975,0.0054906343496431975
id_06,0.0035087719298245723,-0.001981862419818625,-0.0054906343496431975,0.0054906343496431975
C1,0.0070505773882440686,0.001996381558425353,-0.0050541958298187155,0.0050541958298187155
C12,0.0011695906432748575,0.005989144675276059,0.004819554032001201,0.004819554032001201
V306,0.0011695906432748575,0.005989144675276059,0.004819554032001201,0.004819554032001201
C9,0.004694835680751168,0.0,-0.004694835680751168,0.004694835680751168
C5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
D5,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
id_31,0.004686599126925299,0.0,-0.004686599126925299,0.004686599126925299
V53,0.0,0.003992763116850706,0.003992763116850706,0.003992763116850706
V128,0.0,0.003992763116850706,0.003992763116850706,0.003992763116850706
V268,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V58,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V59,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V63,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V93,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V227,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V72,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V239,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V271,0.0,-0.00396372483963725,-0.00396372483963725,0.00396372483963725
V75,0.002339181286549715,0.005989144675276059,0.003649963388726344,0.003649963388726344
ProductCD,0.003533568904593628,0.0,-0.003533568904593628,0.003533568904593628
V33,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V86,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_34,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V52,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V67,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
card3,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_11,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
id_13,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V16,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V87,0.0035087719298245723,0.0,-0.0035087719298245723,0.0035087719298245723
V283,0.004703159547868485,0.001996381558425353,-0.002706777989443132,0.002706777989443132
D3,0.0035087719298245723,0.005989144675276059,0.0024803727454514868,0.0024803727454514868
V307,0.002347417840375584,0.0,-0.002347417840375584,0.002347417840375584
V30,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V19,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V25,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V26,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
V61,0.002339181286549715,0.0,-0.002339181286549715,0.002339181286549715
DeviceType,0.0,0.001996381558425353,0.001996381558425353,0.001996381558425353
V62,0.0,-0.001981862419818625,-0.001981862419818625,0.001981862419818625
C8,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
M1,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
id_14,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
D8,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
id_35,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
V76,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
id_15,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
id_12,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
V310,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
id_05,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
V308,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
id_17,0.0011695906432748575,0.0,-0.0011695906432748575,0.0011695906432748575
V312,0.004686599126925299,0.003992763116850706,-0.0006938360100745928,0.0006938360100745928
V317,0.009414555649562839,0.010011266344456538,0.0005967106948936984,0.0005967106948936984
V12,0.002339181286549715,0.001996381558425353,-0.000342799728124362,0.000342799728124362
V73,0.0,1.4519138606727822e-05,1.4519138606727822e-05,1.4519138606727822e-05
V267,0.0,0.0,0.0,0.0
V259,0.0,0.0,0.0,0.0
id_36,0.0,0.0,0.0,0.0
id_32,0.0,0.0,0.0,0.0
V245,0.0,0.0,0.0,0.0
V243,0.0,0.0,0.0,0.0
V254,0.0,0.0,0.0,0.0
V246,0.0,0.0,0.0,0.0
V266,0.0,0.0,0.0,0.0
V262,0.0,0.0,0.0,0.0
V247,0.0,0.0,0.0,0.0
V248,0.0,0.0,0.0,0.0
V260,0.0,0.0,0.0,0.0
V265,0.0,0.0,0.0,0.0
V264,0.0,0.0,0.0,0.0
V249,0.0,0.0,0.0,0.0
V250,0.0,0.0,0.0,0.0
V251,0.0,0.0,0.0,0.0
V255,0.0,0.0,0.0,0.0
V263,0.0,0.0,0.0,0.0
V252,0.0,0.0,0.0,0.0
V253,0.0,0.0,0.0,0.0
V261,0.0,0.0,0.0,0.0
id_19,0.0,0.0,0.0,0.0
V241,0.0,0.0,0.0,0.0
V211,0.0,0.0,0.0,0.0
V218,0.0,0.0,0.0,0.0
V217,0.0,0.0,0.0,0.0
V216,0.0,0.0,0.0,0.0
V215,0.0,0.0,0.0,0.0
V214,0.0,0.0,0.0,0.0
V213,0.0,0.0,0.0,0.0
V212,0.0,0.0,0.0,0.0
V210,0.0,0.0,0.0,0.0
V240,0.0,0.0,0.0,0.0
V209,0.0,0.0,0.0,0.0
V208,0.0,0.0,0.0,0.0
V207,0.0,0.0,0.0,0.0
V206,0.0,0.0,0.0,0.0
V205,0.0,0.0,0.0,0.0
V204,0.0,0.0,0.0,0.0
V203,0.0,0.0,0.0,0.0
V219,0.0,0.0,0.0,0.0
V220,0.0,0.0,0.0,0.0
V221,0.0,0.0,0.0,0.0
V222,0.0,0.0,0.0,0.0
V238,0.0,0.0,0.0,0.0
V237,0.0,0.0,0.0,0.0
V236,0.0,0.0,0.0,0.0
V269,0.0,0.0,0.0,0.0
V234,0.0,0.0,0.0,0.0
V233,0.0,0.0,0.0,0.0
V232,0.0,0.0,0.0,0.0
V231,0.0,0.0,0.0,0.0
V230,0.0,0.0,0.0,0.0
V229,0.0,0.0,0.0,0.0
V228,0.0,0.0,0.0,0.0
id_37,0.0,0.0,0.0,0.0
V226,0.0,0.0,0.0,0.0
V225,0.0,0.0,0.0,0.0
V223,0.0,0.0,0.0,0.0
V235,0.0,0.0,0.0,0.0
V288,0.0,0.0,0.0,0.0
V270,0.0,0.0,0.0,0.0
V333,0.0,0.0,0.0,0.0
V331,0.0,0.0,0.0,0.0
V330,0.0,0.0,0.0,0.0
V329,0.0,0.0,0.0,0.0
V328,0.0,0.0,0.0,0.0
V327,0.0,0.0,0.0,0.0
V326,0.0,0.0,0.0,0.0
V325,0.0,0.0,0.0,0.0
V324,0.0,0.0,0.0,0.0
V323,0.0,0.0,0.0,0.0
id_23,0.0,0.0,0.0,0.0
V322,0.0,0.0,0.0,0.0
V321,0.0,0.0,0.0,0.0
V320,0.0,0.0,0.0,0.0
